Cycle,MSE,Avg,Min,Max,Discrepancy
0,497500.000000,50.00,0.00,10000.00,10000.00
2000,500666.081600,72.22,0.00,10000.00,10000.00
4000,131740.515775,63.32,0.00,5000.00,4730.00
6000,43743.277775,59.09,0.00,2638.00,2403.00
8000,20016.951975,57.06,0.00,1454.00,1262.00
10000,12310.227500,54.15,0.00,844.00,718.00
12000,9741.167500,53.25,0.00,699.00,581.00
14000,7640.711600,54.22,1.00,515.00,315.00
16000,6092.284375,53.58,2.00,514.00,255.00
18000,5234.913600,53.58,2.00,502.00,370.00
20000,3769.599900,52.99,2.00,404.00,203.00
22000,3113.988975,52.65,4.00,365.00,221.00
24000,2429.895775,52.32,4.00,338.00,160.00
26000,2000.651900,52.09,5.00,277.00,213.00
28000,1520.186400,51.94,8.00,258.00,113.00
30000,1297.742975,51.80,9.00,258.00,149.00
32000,1050.783900,51.19,15.00,228.00,110.00
34000,909.824375,51.58,16.00,211.00,128.00
36000,724.718775,51.47,18.00,192.00,90.00
38000,584.889600,51.48,18.00,169.00,89.00
40000,507.065600,51.12,20.00,169.00,112.00
42000,386.053100,50.87,22.00,152.00,67.00
44000,315.260400,50.86,24.00,147.00,54.00
46000,282.227500,50.95,25.00,130.00,74.00
48000,224.249375,50.68,26.00,130.00,63.00
50000,181.527500,50.65,26.00,111.00,45.00
52000,150.279600,50.52,28.00,107.00,35.00
54000,130.331100,50.67,28.00,103.00,34.00
56000,104.304375,50.58,29.00,92.00,31.00
58000,86.603100,50.37,31.00,84.00,34.00
60000,75.689975,50.51,33.00,80.00,36.00
62000,63.924775,50.27,35.00,78.00,26.00
64000,57.887600,50.32,37.00,75.00,26.00
66000,53.784375,50.43,39.00,75.00,29.00
68000,42.559375,50.28,39.00,74.00,26.00
70000,35.365775,50.32,41.00,71.00,15.00
72000,31.028775,50.22,41.00,70.00,17.00
74000,28.101600,50.28,42.00,69.00,20.00
76000,22.715900,50.21,42.00,68.00,16.00
78000,18.655900,50.21,43.00,67.00,16.00
80000,16.424400,50.16,44.00,67.00,15.00
82000,15.015900,50.21,44.00,67.00,15.00
84000,12.163975,50.15,45.00,64.00,14.00
86000,10.365975,50.10,45.00,62.00,14.00
88000,9.701900,50.09,45.00,62.00,14.00
90000,8.670400,50.14,45.00,61.00,14.00
92000,7.433600,50.08,45.00,60.00,14.00
94000,6.603100,50.13,45.00,60.00,14.00
96000,5.460000,50.10,46.00,60.00,8.00
98000,4.547500,50.05,46.00,57.00,7.00
100000,4.040775,50.07,46.00,57.00,7.00
102000,3.635100,50.07,47.00,56.00,7.00
104000,3.208400,50.04,47.00,56.00,7.00
106000,3.053600,50.08,47.00,56.00,7.00
108000,2.619900,50.01,47.00,56.00,5.00
110000,2.369100,50.03,47.00,56.00,5.00
112000,2.269100,50.03,48.00,56.00,5.00
114000,2.054775,50.02,48.00,55.00,5.00
116000,1.929100,50.03,48.00,55.00,5.00
118000,1.759600,50.02,48.00,55.00,4.00
120000,1.654775,50.02,48.00,55.00,3.00
122000,1.494375,50.03,48.00,54.00,4.00
124000,1.394775,50.02,48.00,54.00,3.00
126000,1.269600,50.02,48.00,54.00,3.00
128000,1.219900,50.01,48.00,54.00,3.00
130000,1.189900,50.01,48.00,54.00,2.00
132000,1.114775,50.02,48.00,53.00,2.00
134000,1.089900,50.01,48.00,53.00,2.00
136000,1.044975,50.01,48.00,52.00,2.00
138000,1.020000,50.00,48.00,52.00,2.00
140000,1.019900,50.01,48.00,52.00,2.00
142000,1.000000,50.00,48.00,52.00,1.00
144000,1.000000,50.00,48.00,52.00,1.00
146000,1.000000,50.00,48.00,52.00,1.00
148000,1.000000,50.00,48.00,52.00,1.00
150000,1.000000,50.00,48.00,52.00,1.00
152000,1.000000,50.00,48.00,52.00,1.00
154000,1.000000,50.00,48.00,52.00,1.00
156000,1.000000,50.00,48.00,52.00,1.00
158000,1.000000,50.00,48.00,52.00,1.00
160000,1.000000,50.00,48.00,52.00,1.00
162000,1.000000,50.00,48.00,52.00,1.00
164000,1.000000,50.00,48.00,52.00,1.00
166000,1.000000,50.00,48.00,52.00,1.00
168000,1.000000,50.00,48.00,52.00,1.00
170000,1.000000,50.00,48.00,52.00,1.00
172000,1.000000,50.00,48.00,52.00,1.00
174000,1.000000,50.00,48.00,52.00,1.00
176000,1.000000,50.00,48.00,52.00,1.00
178000,1.000000,50.00,48.00,52.00,1.00
180000,1.000000,50.00,48.00,52.00,1.00
182000,1.000000,50.00,48.00,52.00,1.00
184000,1.000000,50.00,48.00,52.00,1.00
186000,1.000000,50.00,48.00,52.00,1.00
188000,1.000000,50.00,48.00,52.00,1.00
190000,1.000000,50.00,48.00,52.00,1.00
192000,1.000000,50.00,48.00,52.00,1.00
194000,1.000000,50.00,48.00,52.00,1.00
196000,1.000000,50.00,48.00,52.00,1.00
198000,1.000000,50.00,48.00,52.00,1.00
200000,1.000000,50.00,48.00,52.00,1.00
202000,1.000000,50.00,48.00,52.00,1.00
204000,1.000000,50.00,48.00,52.00,1.00
206000,1.000000,50.00,48.00,52.00,1.00
208000,1.000000,50.00,48.00,52.00,1.00
210000,1.000000,50.00,48.00,52.00,1.00
212000,1.000000,50.00,48.00,52.00,1.00
214000,1.000000,50.00,48.00,52.00,1.00
216000,1.000000,50.00,48.00,52.00,1.00
218000,1.000000,50.00,48.00,52.00,1.00
220000,1.000000,50.00,48.00,52.00,1.00
