Cycle,MSE,Avg,Min,Max,Discrepancy
0,497500.000000,50.00,0.00,10000.00,10000.00
2000,497133.058975,71.36,0.00,10000.00,10000.00
4000,125700.137775,69.09,0.00,5000.00,4896.00
6000,32663.025900,56.79,8.00,2552.00,2450.00
8000,9444.575100,54.93,15.00,1327.00,1261.00
10000,3201.383975,53.11,18.00,714.00,645.00
12000,1376.197500,52.15,21.00,390.00,335.00
14000,802.959775,51.49,24.00,222.00,174.00
16000,539.348400,51.54,25.00,140.00,104.00
18000,418.064775,50.99,28.00,129.00,101.00
20000,290.684975,50.76,30.00,129.00,98.00
22000,239.164375,50.58,32.00,129.00,95.00
24000,164.057500,50.65,35.00,129.00,93.00
26000,114.056400,50.44,36.00,82.00,45.00
28000,91.553100,50.37,38.00,82.00,44.00
30000,72.131975,50.31,39.00,81.00,42.00
32000,57.479975,50.26,40.00,81.00,41.00
34000,42.395900,50.29,41.00,78.00,37.00
36000,35.470000,50.30,42.00,78.00,35.00
38000,26.441100,50.17,42.00,60.00,18.00
40000,23.947600,50.18,43.00,60.00,17.00
42000,19.950000,50.20,43.00,60.00,17.00
44000,16.987775,50.17,44.00,60.00,16.00
46000,14.907500,50.15,45.00,60.00,15.00
48000,13.070000,50.20,45.00,60.00,15.00
50000,10.915975,50.10,46.00,60.00,14.00
52000,8.840400,50.14,46.00,60.00,14.00
54000,7.411100,50.17,46.00,60.00,13.00
56000,5.999375,50.13,47.00,59.00,12.00
58000,5.053975,50.11,47.00,59.00,12.00
60000,3.760000,50.10,47.00,58.00,11.00
62000,3.348400,50.04,48.00,58.00,10.00
64000,2.989600,50.02,48.00,58.00,10.00
66000,2.553775,50.04,48.00,55.00,7.00
68000,2.248400,50.04,48.00,53.00,5.00
70000,1.973775,50.04,48.00,53.00,5.00
72000,1.731975,50.06,49.00,53.00,4.00
74000,1.483775,50.04,49.00,53.00,4.00
76000,1.224375,50.03,49.00,53.00,4.00
78000,1.079100,50.03,49.00,53.00,4.00
80000,0.894375,50.03,49.00,53.00,4.00
82000,0.714775,50.02,49.00,53.00,4.00
84000,0.568400,50.04,49.00,53.00,4.00
86000,0.478400,50.04,49.00,53.00,4.00
88000,0.269100,50.03,49.00,53.00,4.00
90000,0.164775,50.02,49.00,53.00,4.00
92000,0.104975,50.01,49.00,53.00,4.00
94000,0.094775,50.02,49.00,53.00,4.00
96000,0.044975,50.01,49.00,51.00,1.00
98000,0.040000,50.00,49.00,51.00,1.00
100000,0.040000,50.00,49.00,51.00,1.00
102000,0.040000,50.00,49.00,51.00,1.00
104000,0.040000,50.00,49.00,51.00,1.00
106000,0.040000,50.00,49.00,51.00,1.00
108000,0.040000,50.00,49.00,51.00,1.00
110000,0.040000,50.00,49.00,51.00,1.00
112000,0.040000,50.00,49.00,51.00,1.00
114000,0.040000,50.00,49.00,51.00,1.00
116000,0.040000,50.00,49.00,51.00,1.00
118000,0.040000,50.00,49.00,51.00,1.00
120000,0.040000,50.00,49.00,51.00,1.00
122000,0.040000,50.00,49.00,51.00,1.00
124000,0.040000,50.00,49.00,51.00,1.00
126000,0.040000,50.00,49.00,51.00,1.00
128000,0.040000,50.00,49.00,51.00,1.00
130000,0.040000,50.00,49.00,51.00,1.00
132000,0.040000,50.00,49.00,51.00,1.00
134000,0.040000,50.00,49.00,51.00,1.00
136000,0.040000,50.00,49.00,51.00,1.00
138000,0.040000,50.00,49.00,51.00,1.00
140000,0.040000,50.00,49.00,51.00,1.00
142000,0.040000,50.00,49.00,51.00,1.00
144000,0.040000,50.00,49.00,51.00,1.00
146000,0.040000,50.00,49.00,51.00,1.00
148000,0.040000,50.00,49.00,51.00,1.00
150000,0.040000,50.00,49.00,51.00,1.00
152000,0.040000,50.00,49.00,51.00,1.00
154000,0.040000,50.00,49.00,51.00,1.00
156000,0.040000,50.00,49.00,51.00,1.00
158000,0.040000,50.00,49.00,51.00,1.00
160000,0.040000,50.00,49.00,51.00,1.00
162000,0.040000,50.00,49.00,51.00,1.00
164000,0.040000,50.00,49.00,51.00,1.00
166000,0.040000,50.00,49.00,51.00,1.00
168000,0.040000,50.00,49.00,51.00,1.00
170000,0.040000,50.00,49.00,51.00,1.00
172000,0.040000,50.00,49.00,51.00,1.00
174000,0.040000,50.00,49.00,51.00,1.00
176000,0.040000,50.00,49.00,51.00,1.00
178000,0.040000,50.00,49.00,51.00,1.00
180000,0.040000,50.00,49.00,51.00,1.00
182000,0.040000,50.00,49.00,51.00,1.00
184000,0.040000,50.00,49.00,51.00,1.00
186000,0.040000,50.00,49.00,51.00,1.00
188000,0.040000,50.00,49.00,51.00,1.00
190000,0.040000,50.00,49.00,51.00,1.00
192000,0.040000,50.00,49.00,51.00,1.00
194000,0.040000,50.00,49.00,51.00,1.00
196000,0.040000,50.00,49.00,51.00,1.00
198000,0.040000,50.00,49.00,51.00,1.00
200000,0.040000,50.00,49.00,51.00,1.00
202000,0.040000,50.00,49.00,51.00,1.00
204000,0.040000,50.00,49.00,51.00,1.00
206000,0.040000,50.00,49.00,51.00,1.00
208000,0.040000,50.00,49.00,51.00,1.00
210000,0.040000,50.00,49.00,51.00,1.00
212000,0.040000,50.00,49.00,51.00,1.00
214000,0.040000,50.00,49.00,51.00,1.00
216000,0.040000,50.00,49.00,51.00,1.00
218000,0.040000,50.00,49.00,51.00,1.00
220000,0.040000,50.00,49.00,51.00,1.00
222000,0.040000,50.00,49.00,51.00,1.00
224000,0.040000,50.00,49.00,51.00,1.00
226000,0.040000,50.00,49.00,51.00,1.00
228000,0.040000,50.00,49.00,51.00,1.00
230000,0.040000,50.00,49.00,51.00,1.00
232000,0.040000,50.00,49.00,51.00,1.00
234000,0.040000,50.00,49.00,51.00,1.00
236000,0.040000,50.00,49.00,51.00,1.00
238000,0.040000,50.00,49.00,51.00,1.00
240000,0.040000,50.00,49.00,51.00,1.00
242000,0.040000,50.00,49.00,51.00,1.00
244000,0.040000,50.00,49.00,51.00,1.00
246000,0.040000,50.00,49.00,51.00,1.00
248000,0.040000,50.00,49.00,51.00,1.00
250000,0.040000,50.00,49.00,51.00,1.00
252000,0.040000,50.00,49.00,51.00,1.00
254000,0.040000,50.00,49.00,51.00,1.00
256000,0.040000,50.00,49.00,51.00,1.00
258000,0.040000,50.00,49.00,51.00,1.00
260000,0.040000,50.00,49.00,51.00,1.00
262000,0.040000,50.00,49.00,51.00,1.00
264000,0.040000,50.00,49.00,51.00,1.00
266000,0.040000,50.00,49.00,51.00,1.00
268000,0.040000,50.00,49.00,51.00,1.00
270000,0.040000,50.00,49.00,51.00,1.00
272000,0.040000,50.00,49.00,51.00,1.00
274000,0.040000,50.00,49.00,51.00,1.00
276000,0.040000,50.00,49.00,51.00,1.00
278000,0.040000,50.00,49.00,51.00,1.00
280000,0.040000,50.00,49.00,51.00,1.00
282000,0.040000,50.00,49.00,51.00,1.00
284000,0.040000,50.00,49.00,51.00,1.00
286000,0.040000,50.00,49.00,51.00,1.00
288000,0.040000,50.00,49.00,51.00,1.00
290000,0.040000,50.00,49.00,51.00,1.00
292000,0.040000,50.00,49.00,51.00,1.00
294000,0.040000,50.00,49.00,51.00,1.00
296000,0.040000,50.00,49.00,51.00,1.00
298000,0.040000,50.00,49.00,51.00,1.00
300000,0.040000,50.00,49.00,51.00,1.00
302000,0.040000,50.00,49.00,51.00,1.00
304000,0.040000,50.00,49.00,51.00,1.00
306000,0.040000,50.00,49.00,51.00,1.00
308000,0.040000,50.00,49.00,51.00,1.00
310000,0.040000,50.00,49.00,51.00,1.00
312000,0.040000,50.00,49.00,51.00,1.00
314000,0.040000,50.00,49.00,51.00,1.00
316000,0.040000,50.00,49.00,51.00,1.00
318000,0.040000,50.00,49.00,51.00,1.00
320000,0.040000,50.00,49.00,51.00,1.00
322000,0.040000,50.00,49.00,51.00,1.00
324000,0.040000,50.00,49.00,51.00,1.00
326000,0.040000,50.00,49.00,51.00,1.00
328000,0.040000,50.00,49.00,51.00,1.00
