Cycle,MSE,Avg,Min,Max,Discrepancy
0,497500.000000,50.00,0.00,10000.00,10000.00
2000,497500.000000,50.00,0.00,10000.00,10000.00
4000,199218.750000,62.50,0.00,5000.00,2500.00
6000,115998.529600,57.02,0.00,3750.00,1875.00
8000,98244.476975,56.45,0.00,2812.00,859.00
10000,75619.257500,55.95,0.00,2422.00,742.00
12000,68951.987975,54.30,0.00,2051.00,601.00
14000,59613.044375,55.03,0.00,1870.00,410.00
16000,55232.900000,53.30,0.00,1671.00,443.00
18000,50556.124375,54.38,0.00,1567.00,322.00
20000,47102.462400,52.74,0.00,1441.00,342.00
22000,44533.037900,53.89,0.00,1372.00,288.00
24000,41649.370975,52.41,0.00,1284.00,273.00
26000,40136.189975,53.50,0.00,1235.00,254.00
28000,37706.477600,52.18,0.00,1169.00,225.00
30000,36766.667600,53.18,0.00,1132.00,227.00
32000,34662.719600,52.02,0.00,1080.00,198.00
34000,34092.656400,52.94,0.00,1051.00,202.00
36000,32235.045975,51.91,0.00,1009.00,183.00
38000,31875.577100,52.73,0.00,985.00,182.00
40000,30241.660775,51.82,0.00,950.00,169.00
42000,30025.287975,52.55,0.00,930.00,165.00
44000,28561.772400,51.74,0.00,900.00,155.00
46000,28429.120975,52.41,0.00,883.00,149.00
48000,27124.041100,51.67,0.00,857.00,144.00
50000,27049.937100,52.27,0.00,843.00,137.00
52000,25867.356775,51.62,0.00,821.00,134.00
54000,25839.661100,52.17,0.00,808.00,125.00
56000,24772.916400,51.56,0.00,788.00,124.00
58000,24762.615100,52.07,0.00,777.00,116.00
60000,23801.449900,51.51,0.00,759.00,117.00
62000,23793.539900,51.99,0.00,749.00,107.00
64000,22925.709600,51.48,0.00,733.00,109.00
66000,22916.343975,51.90,0.00,724.00,100.00
68000,22140.128775,51.47,0.00,709.00,102.00
70000,22128.531100,51.83,0.00,701.00,95.00
72000,21408.384375,51.43,0.00,688.00,96.00
74000,21417.364375,51.78,0.00,681.00,89.00
76000,20744.016775,51.39,0.00,669.00,90.00
78000,20758.013775,51.72,0.00,662.00,85.00
80000,20134.401775,51.37,0.00,651.00,85.00
82000,20139.930400,51.64,0.00,646.00,81.00
84000,19578.875975,51.35,0.00,635.00,80.00
86000,19577.300000,51.60,0.00,630.00,78.00
88000,19057.255775,51.32,0.00,620.00,76.00
90000,19061.906400,51.56,0.00,614.00,75.00
92000,18566.333775,51.29,0.00,605.00,73.00
94000,18576.089600,51.52,0.00,601.00,72.00
96000,18114.567100,51.27,0.00,592.00,69.00
98000,18123.179975,51.50,0.00,588.00,69.00
100000,17690.589775,51.24,0.00,579.00,67.00
102000,17700.958775,51.47,0.00,576.00,66.00
104000,17285.768775,51.22,0.00,568.00,65.00
106000,17296.585100,51.43,0.00,564.00,63.00
108000,16908.536975,51.20,0.00,557.00,62.00
110000,16921.397900,51.39,0.00,554.00,60.00
112000,16558.540775,51.19,0.00,547.00,60.00
114000,16560.651775,51.37,0.00,544.00,58.00
116000,16231.500775,51.19,0.00,537.00,57.00
118000,16223.047600,51.32,0.00,534.00,56.00
120000,15906.017775,51.17,0.00,527.00,54.00
122000,15907.165775,51.32,0.00,524.00,55.00
124000,15596.657500,51.15,0.00,518.00,54.00
126000,15601.469375,51.28,0.00,515.00,53.00
128000,15314.497500,51.15,0.00,510.00,52.00
130000,15311.417500,51.25,0.00,507.00,51.00
132000,15045.471775,51.12,0.00,502.00,50.00
134000,15031.987100,51.23,0.00,500.00,50.00
136000,14784.517900,51.11,0.00,494.00,48.00
138000,14770.790000,51.20,0.00,492.00,50.00
140000,14519.647775,51.09,0.00,487.00,48.00
142000,14527.422975,51.21,0.00,485.00,48.00
144000,14279.560775,51.07,0.00,480.00,48.00
146000,14295.690000,51.20,0.00,478.00,49.00
148000,14037.834375,51.03,0.00,473.00,48.00
150000,14072.746975,51.20,0.00,471.00,48.00
152000,13820.449100,51.03,0.00,467.00,48.00
154000,13854.671100,51.17,0.00,465.00,48.00
156000,13609.669600,51.02,0.00,461.00,46.00
158000,13633.573975,51.15,0.00,459.00,46.00
160000,13404.234775,50.99,0.00,455.00,45.00
162000,13430.527775,51.17,0.00,453.00,45.00
164000,13209.329600,50.98,0.00,449.00,43.00
166000,13230.111775,51.12,0.00,448.00,44.00
168000,13029.530000,51.00,0.00,444.00,42.00
170000,13041.493975,51.11,0.00,442.00,42.00
172000,12852.094375,50.98,0.00,439.00,40.00
174000,12857.147900,51.11,0.00,437.00,41.00
176000,12670.324375,50.98,0.00,433.00,40.00
178000,12672.599375,51.08,0.00,432.00,40.00
180000,12504.157500,50.95,0.00,429.00,40.00
182000,12503.465100,51.07,0.00,427.00,40.00
184000,12344.662975,50.96,0.00,424.00,39.00
186000,12338.017500,51.05,0.00,422.00,38.00
188000,12195.284975,51.00,0.00,419.00,39.00
190000,12167.414775,51.02,0.00,418.00,37.00
192000,12037.721975,50.95,0.00,415.00,37.00
194000,12017.469600,51.02,0.00,413.00,36.00
196000,11887.345100,50.93,0.00,410.00,36.00
198000,11867.439600,50.98,0.00,409.00,36.00
200000,11748.156400,50.94,0.00,406.00,35.00
202000,11729.609900,50.99,0.00,405.00,36.00
204000,11605.170000,50.90,0.00,402.00,35.00
206000,11589.510000,51.00,0.00,401.00,35.00
208000,11466.841900,50.91,0.00,398.00,35.00
210000,11449.769100,50.97,0.00,397.00,35.00
212000,11339.275975,50.91,0.00,394.00,34.00
214000,11318.627500,50.95,0.00,393.00,35.00
216000,11210.317775,50.92,0.00,391.00,33.00
218000,11190.199100,50.97,0.00,390.00,33.00
220000,11082.749375,50.88,0.00,387.00,33.00
222000,11067.590775,50.94,0.00,386.00,33.00
224000,10964.460000,50.90,0.00,384.00,32.00
226000,10946.105100,50.93,0.00,383.00,33.00
228000,10851.191775,50.89,0.00,381.00,33.00
230000,10832.059375,50.93,0.00,380.00,31.00
232000,10732.277500,50.85,0.00,377.00,30.00
234000,10718.661975,50.95,0.00,376.00,31.00
236000,10619.230975,50.85,0.00,374.00,31.00
238000,10601.431900,50.91,0.00,373.00,30.00
240000,10517.920400,50.86,0.00,371.00,29.00
242000,10491.921900,50.91,0.00,370.00,29.00
244000,10412.021100,50.83,0.00,368.00,28.00
246000,10384.870000,50.90,0.00,367.00,29.00
248000,10306.691100,50.83,0.00,365.00,28.00
250000,10292.123975,50.90,0.00,364.00,28.00
252000,10197.287775,50.84,0.00,362.00,27.00
254000,10185.026775,50.87,0.00,361.00,27.00
256000,10105.524375,50.83,0.00,359.00,26.00
258000,10090.091775,50.89,0.00,359.00,27.00
260000,10013.304375,50.83,0.00,357.00,26.00
262000,9993.555600,50.88,0.00,356.00,25.00
264000,9917.620775,50.82,0.00,354.00,25.00
266000,9898.753100,50.87,0.00,353.00,26.00
268000,9825.170775,50.82,0.00,351.00,25.00
270000,9805.453975,50.90,0.00,351.00,25.00
272000,9733.598775,50.79,0.00,349.00,25.00
274000,9714.453100,50.87,0.00,348.00,24.00
276000,9648.594375,50.83,0.00,346.00,25.00
278000,9625.611100,50.83,0.00,345.00,25.00
280000,9557.512975,50.80,0.00,344.00,25.00
282000,9543.804400,50.84,0.00,343.00,24.00
284000,9478.604375,50.78,0.00,342.00,25.00
286000,9456.733975,50.86,0.00,341.00,25.00
288000,9399.257100,50.77,0.00,339.00,25.00
290000,9373.837500,50.85,0.00,338.00,24.00
292000,9311.952400,50.76,0.00,337.00,24.00
294000,9292.907775,50.84,0.00,336.00,24.00
296000,9236.107100,50.77,0.00,335.00,24.00
298000,9210.277600,50.82,0.00,334.00,25.00
300000,9161.084975,50.76,0.00,332.00,23.00
302000,9139.460000,50.80,0.00,332.00,23.00
304000,9081.392400,50.76,0.00,330.00,22.00
306000,9065.908775,50.79,0.00,330.00,23.00
308000,9010.214375,50.78,0.00,328.00,23.00
310000,8989.428775,50.79,0.00,328.00,23.00
312000,8932.859775,50.77,0.00,326.00,23.00
314000,8918.112975,50.80,0.00,326.00,22.00
316000,8858.312400,50.74,0.00,324.00,22.00
318000,8852.176975,50.81,0.00,324.00,22.00
320000,8790.003775,50.72,0.00,322.00,22.00
322000,8783.846975,50.81,0.00,322.00,21.00
324000,8725.441975,50.70,0.00,320.00,22.00
326000,8717.436975,50.81,0.00,320.00,21.00
328000,8654.064775,50.74,0.00,318.00,21.00
330000,8646.167100,50.77,0.00,318.00,20.00
332000,8589.137100,50.73,0.00,316.00,20.00
334000,8578.252975,50.80,0.00,316.00,20.00
336000,8528.687975,50.71,0.00,314.00,20.00
338000,8518.215900,50.79,0.00,314.00,21.00
340000,8461.210000,50.70,0.00,312.00,21.00
342000,8452.174375,50.78,0.00,312.00,20.00
344000,8397.565900,50.71,0.00,310.00,20.00
346000,8391.847100,50.77,0.00,310.00,21.00
348000,8341.210000,50.70,0.00,309.00,21.00
350000,8329.062400,50.76,0.00,308.00,20.00
352000,8281.275900,50.71,0.00,307.00,21.00
354000,8264.304375,50.78,0.00,306.00,21.00
356000,8217.853900,50.69,0.00,305.00,21.00
358000,8203.757500,50.75,0.00,305.00,20.00
360000,8165.315900,50.71,0.00,304.00,21.00
362000,8149.514775,50.74,0.00,303.00,21.00
364000,8104.472775,50.67,0.00,302.00,20.00
366000,8092.127500,50.75,0.00,301.00,20.00
368000,8047.975775,50.69,0.00,301.00,20.00
370000,8036.724775,50.74,0.00,300.00,21.00
372000,7995.681600,50.72,0.00,299.00,21.00
374000,7981.099975,50.75,0.00,298.00,20.00
376000,7935.151100,50.67,0.00,297.00,21.00
378000,7925.602400,50.74,0.00,297.00,19.00
380000,7884.695775,50.69,0.00,296.00,21.00
382000,7867.693775,50.72,0.00,295.00,20.00
384000,7834.249375,50.68,0.00,295.00,21.00
386000,7819.011600,50.72,0.00,294.00,19.00
388000,7783.009375,50.68,0.00,293.00,20.00
390000,7765.991975,50.70,0.00,293.00,19.00
392000,7734.142775,50.67,0.00,292.00,20.00
394000,7716.117975,50.71,0.00,291.00,19.00
396000,7677.911100,50.67,0.00,290.00,19.00
398000,7666.625900,50.71,0.00,290.00,18.00
400000,7626.101100,50.67,0.00,289.00,19.00
402000,7616.393900,50.69,0.00,288.00,18.00
404000,7584.902775,50.67,0.00,288.00,19.00
406000,7562.911975,50.70,0.00,287.00,19.00
408000,7539.869375,50.68,0.00,286.00,18.00
410000,7512.427600,50.68,0.00,286.00,18.00
412000,7494.562775,50.67,0.00,285.00,18.00
414000,7475.915775,50.69,0.00,284.00,19.00
416000,7436.894375,50.63,0.00,284.00,18.00
418000,7434.521975,50.70,0.00,283.00,17.00
420000,7388.091775,50.64,0.00,282.00,17.00
422000,7382.911975,50.70,0.00,282.00,17.00
424000,7349.395975,50.66,0.00,281.00,17.00
426000,7334.491100,50.67,0.00,280.00,17.00
428000,7302.341775,50.64,0.00,280.00,17.00
430000,7294.147975,50.71,0.00,279.00,17.00
432000,7256.308975,50.61,0.00,278.00,17.00
434000,7246.082775,50.67,0.00,278.00,17.00
436000,7215.163100,50.63,0.00,277.00,17.00
438000,7202.842775,50.67,0.00,276.00,17.00
440000,7175.986775,50.62,0.00,276.00,17.00
442000,7163.407500,50.65,0.00,275.00,17.00
444000,7128.685600,50.62,0.00,275.00,17.00
446000,7124.917600,50.68,0.00,274.00,17.00
448000,7092.555600,50.62,0.00,274.00,17.00
450000,7073.623100,50.63,0.00,273.00,17.00
452000,7056.181775,50.64,0.00,272.00,17.00
454000,7032.227500,50.65,0.00,272.00,17.00
