Cycle,MSE,Avg,Min,Max,Discrepancy
0,497500.000000,50.00,0.00,10000.00,10000.00
2000,497500.000000,50.00,0.00,10000.00,10000.00
4000,123128.250000,50.00,25.00,5000.00,4975.00
6000,30460.000000,50.00,37.00,2512.00,2475.00
8000,7529.590000,50.00,43.00,1274.00,1231.00
10000,1859.170000,50.00,46.00,658.00,612.00
12000,460.990000,50.00,47.00,352.00,305.00
14000,115.100000,50.00,47.00,199.00,152.00
16000,32.000000,50.00,47.00,123.00,76.00
18000,12.870000,50.00,47.00,85.00,38.00
20000,9.070000,50.00,47.00,66.00,19.00
22000,8.380000,50.00,47.00,56.00,9.00
24000,8.230000,50.00,47.00,56.00,5.00
26000,8.199900,50.01,47.00,56.00,5.00
28000,8.069900,50.01,47.00,56.00,5.00
30000,7.974775,50.02,47.00,56.00,5.00
32000,7.814775,50.02,47.00,56.00,5.00
34000,7.624775,50.02,47.00,56.00,5.00
36000,7.454775,50.02,47.00,56.00,5.00
38000,7.264775,50.02,47.00,56.00,5.00
40000,7.094775,50.02,47.00,56.00,5.00
42000,6.904775,50.02,47.00,56.00,5.00
44000,6.734775,50.02,47.00,56.00,5.00
46000,6.579600,50.02,47.00,56.00,6.00
48000,6.359900,50.01,47.00,56.00,5.00
50000,6.224775,50.02,47.00,56.00,5.00
52000,6.054775,50.02,47.00,56.00,5.00
54000,5.884775,50.02,47.00,56.00,5.00
56000,5.694775,50.02,47.00,56.00,5.00
58000,5.524775,50.02,47.00,56.00,5.00
60000,5.314775,50.02,47.00,56.00,5.00
62000,5.159600,50.02,47.00,56.00,6.00
64000,4.949900,50.01,47.00,56.00,5.00
66000,4.794775,50.02,47.00,56.00,5.00
68000,4.614775,50.02,47.00,56.00,5.00
70000,4.409900,50.01,47.00,55.00,4.00
72000,4.304775,50.02,47.00,55.00,5.00
74000,4.119900,50.01,47.00,55.00,4.00
76000,4.034775,50.02,47.00,55.00,5.00
78000,3.859900,50.01,47.00,55.00,4.00
80000,3.774775,50.02,47.00,55.00,5.00
82000,3.584975,50.01,47.00,54.00,4.00
84000,3.499900,50.01,47.00,53.00,3.00
86000,3.419900,50.01,47.00,53.00,3.00
88000,3.339900,50.01,47.00,53.00,3.00
90000,3.259900,50.01,47.00,53.00,3.00
92000,3.184975,50.01,47.00,53.00,4.00
94000,3.129900,50.01,47.00,53.00,3.00
96000,3.049900,50.01,47.00,53.00,3.00
98000,2.974975,50.01,47.00,53.00,4.00
100000,2.919900,50.01,47.00,53.00,3.00
102000,2.839900,50.01,47.00,53.00,3.00
104000,2.764975,50.01,47.00,53.00,4.00
106000,2.709900,50.01,47.00,53.00,3.00
108000,2.629900,50.01,47.00,53.00,3.00
110000,2.554975,50.01,47.00,53.00,4.00
112000,2.499900,50.01,47.00,53.00,3.00
114000,2.419900,50.01,47.00,53.00,3.00
116000,2.344975,50.01,48.00,53.00,4.00
118000,2.319900,50.01,48.00,53.00,3.00
120000,2.259900,50.01,48.00,53.00,3.00
122000,2.179900,50.01,48.00,53.00,3.00
124000,2.099900,50.01,48.00,53.00,3.00
126000,2.019900,50.01,48.00,53.00,3.00
128000,1.939900,50.01,48.00,53.00,3.00
130000,1.859900,50.01,48.00,53.00,3.00
132000,1.779900,50.01,48.00,53.00,3.00
134000,1.699900,50.01,48.00,53.00,3.00
136000,1.619900,50.01,48.00,53.00,3.00
138000,1.539900,50.01,48.00,53.00,3.00
140000,1.454975,50.01,48.00,53.00,3.00
142000,1.414975,50.01,48.00,52.00,2.00
144000,1.384975,50.01,48.00,52.00,2.00
146000,1.354975,50.01,48.00,52.00,2.00
148000,1.324975,50.01,48.00,52.00,2.00
150000,1.294975,50.01,48.00,52.00,2.00
152000,1.264975,50.01,48.00,52.00,2.00
154000,1.234975,50.01,48.00,52.00,2.00
156000,1.204975,50.01,48.00,52.00,2.00
158000,1.174975,50.01,48.00,52.00,2.00
160000,1.144975,50.01,48.00,52.00,2.00
162000,1.114975,50.01,49.00,52.00,2.00
164000,1.104975,50.01,49.00,52.00,2.00
166000,1.080000,50.00,49.00,52.00,2.00
168000,1.084975,50.01,49.00,52.00,2.00
170000,1.060000,50.00,49.00,52.00,2.00
172000,1.064975,50.01,49.00,52.00,2.00
174000,1.040000,50.00,49.00,52.00,2.00
176000,1.044975,50.01,49.00,52.00,2.00
178000,1.020000,50.00,49.00,52.00,2.00
180000,1.024975,50.01,49.00,52.00,2.00
182000,1.000000,50.00,49.00,52.00,2.00
184000,1.004975,50.01,49.00,52.00,2.00
186000,0.980000,50.00,49.00,52.00,2.00
188000,0.984975,50.01,49.00,52.00,2.00
190000,0.960000,50.00,49.00,52.00,2.00
192000,0.964975,50.01,49.00,52.00,2.00
194000,0.940000,50.00,49.00,52.00,2.00
196000,0.944975,50.01,49.00,52.00,2.00
198000,0.920000,50.00,49.00,52.00,2.00
200000,0.924975,50.01,49.00,52.00,2.00
202000,0.900000,50.00,49.00,52.00,2.00
204000,0.904975,50.01,49.00,52.00,2.00
206000,0.880000,50.00,49.00,52.00,2.00
208000,0.884975,50.01,49.00,52.00,2.00
210000,0.860000,50.00,49.00,52.00,2.00
212000,0.864975,50.01,49.00,52.00,2.00
214000,0.840000,50.00,49.00,52.00,2.00
216000,0.844975,50.01,49.00,52.00,2.00
218000,0.820000,50.00,49.00,52.00,2.00
220000,0.824975,50.01,49.00,52.00,2.00
222000,0.800000,50.00,49.00,52.00,2.00
224000,0.804975,50.01,49.00,52.00,2.00
226000,0.780000,50.00,49.00,52.00,2.00
228000,0.784975,50.01,49.00,52.00,2.00
230000,0.760000,50.00,49.00,51.00,1.00
232000,0.760000,50.00,49.00,51.00,1.00
234000,0.760000,50.00,49.00,51.00,1.00
236000,0.760000,50.00,49.00,51.00,1.00
238000,0.760000,50.00,49.00,51.00,1.00
240000,0.760000,50.00,49.00,51.00,1.00
242000,0.760000,50.00,49.00,51.00,1.00
244000,0.760000,50.00,49.00,51.00,1.00
246000,0.760000,50.00,49.00,51.00,1.00
248000,0.760000,50.00,49.00,51.00,1.00
250000,0.760000,50.00,49.00,51.00,1.00
252000,0.760000,50.00,49.00,51.00,1.00
254000,0.760000,50.00,49.00,51.00,1.00
256000,0.760000,50.00,49.00,51.00,1.00
258000,0.760000,50.00,49.00,51.00,1.00
260000,0.760000,50.00,49.00,51.00,1.00
262000,0.760000,50.00,49.00,51.00,1.00
264000,0.760000,50.00,49.00,51.00,1.00
266000,0.760000,50.00,49.00,51.00,1.00
268000,0.760000,50.00,49.00,51.00,1.00
270000,0.760000,50.00,49.00,51.00,1.00
272000,0.760000,50.00,49.00,51.00,1.00
274000,0.760000,50.00,49.00,51.00,1.00
276000,0.760000,50.00,49.00,51.00,1.00
278000,0.760000,50.00,49.00,51.00,1.00
280000,0.760000,50.00,49.00,51.00,1.00
282000,0.760000,50.00,49.00,51.00,1.00
284000,0.760000,50.00,49.00,51.00,1.00
286000,0.760000,50.00,49.00,51.00,1.00
288000,0.760000,50.00,49.00,51.00,1.00
290000,0.760000,50.00,49.00,51.00,1.00
292000,0.760000,50.00,49.00,51.00,1.00
294000,0.760000,50.00,49.00,51.00,1.00
296000,0.760000,50.00,49.00,51.00,1.00
298000,0.760000,50.00,49.00,51.00,1.00
300000,0.760000,50.00,49.00,51.00,1.00
302000,0.760000,50.00,49.00,51.00,1.00
304000,0.760000,50.00,49.00,51.00,1.00
306000,0.760000,50.00,49.00,51.00,1.00
308000,0.760000,50.00,49.00,51.00,1.00
310000,0.760000,50.00,49.00,51.00,1.00
312000,0.760000,50.00,49.00,51.00,1.00
314000,0.760000,50.00,49.00,51.00,1.00
316000,0.760000,50.00,49.00,51.00,1.00
318000,0.760000,50.00,49.00,51.00,1.00
320000,0.760000,50.00,49.00,51.00,1.00
322000,0.760000,50.00,49.00,51.00,1.00
324000,0.760000,50.00,49.00,51.00,1.00
326000,0.760000,50.00,49.00,51.00,1.00
328000,0.760000,50.00,49.00,51.00,1.00
330000,0.760000,50.00,49.00,51.00,1.00
332000,0.760000,50.00,49.00,51.00,1.00
334000,0.760000,50.00,49.00,51.00,1.00
336000,0.760000,50.00,49.00,51.00,1.00
338000,0.760000,50.00,49.00,51.00,1.00
340000,0.760000,50.00,49.00,51.00,1.00
342000,0.760000,50.00,49.00,51.00,1.00
344000,0.760000,50.00,49.00,51.00,1.00
346000,0.760000,50.00,49.00,51.00,1.00
348000,0.760000,50.00,49.00,51.00,1.00
350000,0.760000,50.00,49.00,51.00,1.00
352000,0.760000,50.00,49.00,51.00,1.00
354000,0.760000,50.00,49.00,51.00,1.00
356000,0.760000,50.00,49.00,51.00,1.00
358000,0.760000,50.00,49.00,51.00,1.00
360000,0.760000,50.00,49.00,51.00,1.00
362000,0.760000,50.00,49.00,51.00,1.00
364000,0.760000,50.00,49.00,51.00,1.00
366000,0.760000,50.00,49.00,51.00,1.00
368000,0.760000,50.00,49.00,51.00,1.00
370000,0.760000,50.00,49.00,51.00,1.00
372000,0.760000,50.00,49.00,51.00,1.00
374000,0.760000,50.00,49.00,51.00,1.00
376000,0.760000,50.00,49.00,51.00,1.00
378000,0.760000,50.00,49.00,51.00,1.00
380000,0.760000,50.00,49.00,51.00,1.00
382000,0.760000,50.00,49.00,51.00,1.00
384000,0.760000,50.00,49.00,51.00,1.00
386000,0.760000,50.00,49.00,51.00,1.00
388000,0.760000,50.00,49.00,51.00,1.00
390000,0.760000,50.00,49.00,51.00,1.00
392000,0.760000,50.00,49.00,51.00,1.00
394000,0.760000,50.00,49.00,51.00,1.00
396000,0.760000,50.00,49.00,51.00,1.00
398000,0.760000,50.00,49.00,51.00,1.00
400000,0.760000,50.00,49.00,51.00,1.00
402000,0.760000,50.00,49.00,51.00,1.00
404000,0.760000,50.00,49.00,51.00,1.00
406000,0.760000,50.00,49.00,51.00,1.00
408000,0.760000,50.00,49.00,51.00,1.00
410000,0.760000,50.00,49.00,51.00,1.00
412000,0.760000,50.00,49.00,51.00,1.00
414000,0.760000,50.00,49.00,51.00,1.00
416000,0.760000,50.00,49.00,51.00,1.00
418000,0.760000,50.00,49.00,51.00,1.00
420000,0.760000,50.00,49.00,51.00,1.00
422000,0.760000,50.00,49.00,51.00,1.00
424000,0.760000,50.00,49.00,51.00,1.00
426000,0.760000,50.00,49.00,51.00,1.00
428000,0.760000,50.00,49.00,51.00,1.00
430000,0.760000,50.00,49.00,51.00,1.00
432000,0.760000,50.00,49.00,51.00,1.00
434000,0.760000,50.00,49.00,51.00,1.00
436000,0.760000,50.00,49.00,51.00,1.00
438000,0.760000,50.00,49.00,51.00,1.00
440000,0.760000,50.00,49.00,51.00,1.00
442000,0.760000,50.00,49.00,51.00,1.00
444000,0.760000,50.00,49.00,51.00,1.00
446000,0.760000,50.00,49.00,51.00,1.00
448000,0.760000,50.00,49.00,51.00,1.00
450000,0.760000,50.00,49.00,51.00,1.00
452000,0.760000,50.00,49.00,51.00,1.00
454000,0.760000,50.00,49.00,51.00,1.00
456000,0.760000,50.00,49.00,51.00,1.00
458000,0.760000,50.00,49.00,51.00,1.00
460000,0.760000,50.00,49.00,51.00,1.00
462000,0.760000,50.00,49.00,51.00,1.00
464000,0.760000,50.00,49.00,51.00,1.00
466000,0.760000,50.00,49.00,51.00,1.00
468000,0.760000,50.00,49.00,51.00,1.00
470000,0.760000,50.00,49.00,51.00,1.00
472000,0.760000,50.00,49.00,51.00,1.00
